Company,Region,City,Founded,Employees,Revenue_funding,Web,Email,Genres,Sample_games,Internship,Remote,Ownership,Notes
IGG,China,Singapore / Fuzhou roots,2006,~2000+,Lords Mobile,https://www.igg.com,jobs.ae@igg.com (HR); pr@igg.com (press),mobile SLG / MMO,Lords Mobile; Viking Rise; Castle Clash,unknown,mixed,public (HK),SLG global publishing.
Kuro Games,China,Guangzhou (China),2014,~1000+,Wuthering Waves,https://www.kurogame.com,press@kurogame.com (press),open world action / gacha,Wuthering Waves; Punishing: Gray Raven; Kuro action RPG; Guangzhou studio,unknown,office,private,Punishing: Gray Raven and Wuthering Waves drive Kuro's action live-ops.
Level Infinite,China,Global (Tencent publishing label),2022,Inside Tencent,global publishing,https://levelinfinite.com,press@levelinfinite.com (press),publish,PUBG Mobile; Arena Breakout; Delta Force; various western titles,unknown,mixed,Tencent,Tencent global publishing label for west-facing titles.
Lightning Games,China,Hong Kong / China,2014,~200+,publish,https://www.lightninggames.hk,unknown,publish,Lightning Games publishing; China indie/AA publishing; multi-platform releases; Lightning catalog,unknown,mixed,private,HK/China game publishing.
Lightspeed Studios,China,Shenzhen / Los Angeles,2016 (Tencent),thousands of bands,PUBG Mobile; other,https://lightspeed.qq.com,press@tencentgames.com (press),mobile / console,PUBG Mobile; Lightspeed FPS/midcore portfolio; Apex Mobile (historical); The Finals partnerships periodic; Apex Mobile (tarihsel),unknown,multi-office,Tencent,Tencent global studio brand.
Lilith Games,China,Shanghai (China),2013,~2000+,AFK Arena global,https://www.lilith.com,press@lilithgames.com (press),mobile strategy / idle,AFK Arena; Rise of Empires; Soul Land; Rise of Kingdoms,unknown,office,private,AFK Arena idle-RPG global success.
MICA Team,China,Shanghai (China),2015,~100-200,Girls' Frontline,https://sunborn.com,info@naantalispa.fi (general); jobs@sunborngibraltar.com (HR),mobile tactics,Girls' Frontline; Girls' Frontline 2: Exilium; Neural Cloud; MICA/Sunborn,unknown,office,Sunborn,GFL development team.
miHoYo / HoYoverse,China,Shanghai (China) / Singapore,2012,~5000+,Genshin / Star Rail billions $,https://www.hoyoverse.com,press@hoyoverse.com (press),open world action-RPG / gacha,Genshin Impact; Honkai: Star Rail; Zenless Zone Zero; Honkai Impact 3rd; Tears of Themis,unknown,office,private,Global anime-ARPG standard under HoYoverse brand.
MoreFun Studios,China,Shenzhen (China),Tencent internal,thousands of bands,Peacekeeper Elite / PUBGM ecosystem,https://game.tencent.com,press@tencentgames.com (press),mobile battle royale,PUBG Mobile; Peacekeeper Elite; Game for Peace; PUBG Mobile partner; PUBG Mobile ortak,unknown,office,Tencent,Tencent IEG studio.
NetDragon,China,Fuzhou (China),1999,~4000+ (group),education + game,https://www.netdragon.com,unknown,MMO / edtech,Disney Magic Kingdoms (collab); Conquer Online; Disney English etc.,unknown,office,public (HK),Game + education hybrid group.
NetEase Games,China,Hangzhou (China),2001 (game),ten thousands,Blizzard partnership periodic; own IP,https://www.neteasegames.com,press@neteasegames.com (press),PC/mobile MMO / publishing,Naraka: Bladepoint; Identity V; Justice; Fantasy Westward Journey; Diablo Immortal (collab); Marvel Rivals (support); Naraka,unknown,office,NetEase (NTES),China giant with growing western publishing and studio investments.
NetEase Thunder Fire,China,Hangzhou (China),—,thousands of bands,engine / AAA / service,https://www.thunderfire.com,press@neteasegames.com (press),engine; AAA,Eggy Party; UX/research; various NetEase AAA,unknown,office,NetEase,NetEase internal studio/technology.
Original Force,China,Nanjing / China + global,2006,~1000+,animation / art / cinematics,https://www.originalforce.com,unknown,service; animation,AAA outsourcing art; cinematic services; Original Force portfolio; China co-dev; very AAA cinematic/art,unknown,multi-office,private,China major art/animation service.
Ourpalm,China,Beijing (China),2011,~1000+,mobile,https://www.ourpalm.com,unknown,mobile,World War Heroes; licensed mobile shooters; Ourpalm catalog; China mobile publisher; licensed mobile portfolio,unknown,office,public (China),Cin mobile.
Papergames (Paper Games),China,Shanghai (China),2012,~1000+,Love and Deepspace,https://www.papegames.com,press@papegames.com (press),otome / 3D narrative,Love and Deepspace; Shining Nikki; Infinity Nikki; Love Nikki,unknown,office,private,Love and Deepspace / Nikki fashion-RPG breakouts.
Perfect World Games,China,Beijing (China),2004,~2000+,MMO + publishing,https://www.pwrd.com,press@perfectworld.com (press),MMO / publishing,Perfect World; Torchlight: Infinite; Jade Dynasty; Torchlight (publication history),unknown,office,public (China),Long-running China MMO/online publisher-developer.
PopCap Shanghai,China,Shanghai (China),—,In-house EA/PopCap,Bejeweled / PvZ China,https://www.popcap.com,unknown,casual,Bejeweled support; Plants vs. Zombies localization eras; PopCap China; EA casual; PvZ / Bejeweled China operation,unknown,office,EA,PopCap China entity.
Red Candle Games,China,Taipei (Taiwan),2015,small,horror narrative,https://redcandlegames.com,unknown,horror / narrative,Detention; Devotion; Nine Sols,unknown,small office,independent,Taiwan indie; Devotion controversy historical.
Seasun Games,China,Zhuhai (China),1995 (Kingsoft relationship),~1000+,JX / Snowbreak,https://www.seasungames.com,press@seasungames.com (press),MMO / action,Sword of Justice; GuJian; JX Online; Snowbreak: Containment Zone,unknown,office,Kingsoft,Classic Chinese MMO + new global.
Sempire Games,China,China / global,2017,~100-200,mobile SLG,https://www.sempiregames.com,unknown,mobile SLG,Sempire strategy; China SLG; Sempire live ops; midcore war games; various SLG,unknown,office,private,China SLG publishing/development.
Shengqu Games,China,Shanghai (China),—,~1000+,MMO,https://www.shengqugames.com,unknown,MMO,Legend of Mir lineage; Shengqu publishing; China MMO classics; Shengqu catalog; various MMO,unknown,office,private,Cin MMO operator.
Softstar Entertainment,China,Taipei (Taiwan),1988,~200+,classic RPG,https://www.softstar.com.tw,unknown,JRPG / tool,Chinese Paladin; Xuan-Yuan Sword; Richman,unknown,office,private,Taiwan classic RPG.
Sunborn / MICA Team,China,Shanghai (China),2015 (MICA),~200–400,Girls' Frontline,https://sunborn.com,info@naantalispa.fi (general); jobs@sunborngibraltar.com (HR),mobile tactics / gacha,Girls' Frontline; Girls' Frontline 2; Neural Cloud; GFL2,unknown,office,private,ACG tactical gacha.
Taomee,China,Shanghai (China),2007,~500+,children / metaverse-lite,https://www.taomee.com,unknown,children; online,Seer; Mole's World; Taomee kids MMO; China youth platform,unknown,office,private,China kids online IP.
Tencent Games,China,Shenzhen (China),1998 (Tencent); Games group,ten thousands,one of the largest game revenues in the world,https://game.tencent.com,press@tencentgames.com (press),publishing; investment; PC/mobile,Honor of Kings; PUBG Mobile; Delta Force; Arena of Valor; Level Infinite slate; League of Legends (Riot stake); PUBG Mobile (joint); Level Infinite,unknown,office,Tencent Holdings,"Operator + investor: Riot, Epic stake, Supercell, Level Infinite."
Tencent IEG,China,Shenzhen (China),2008 (IEG),ten thousands,game and esports group,https://game.tencent.com,press@tencentgames.com (press),publishing; investment; operations,Honor of Kings; PUBG Mobile; global publishing; Level Infinite; investments,unknown,office,Tencent,Interactive Entertainment Group.
Tencent Next Studios,China,Shanghai (China),2018,Inside Tencent,PC/console,https://www.tencent.com,press@tencentgames.com (press),PC/console,Next Studios experiments; Code:To Jin Yong eras; Tencent first-party R&D; Shanghai slate; Tencent first-party experiments; various projects,unknown,office,Tencent,Tencent first-party experimental studio (Shanghai R&D).
The9,China,Shanghai (China),1999,~500+,MMO operation,https://www.the9.com,unknown,MMO publishing / operation,World of Warcraft China (historical); Firefly Online eras; The9 MMO publishing; Shanghai; WoW China historical; Firefly,unknown,office,public (NASDAQ periodic),Classic Chinese MMO operator.
TiMi Studio Group,China,Shenzhen (China),2014 (within Tencent),thousands,Honor of Kings / CoD Mobile,https://timi.qq.com,press@tencentgames.com (press),mobile MOBA / shooter,Honor of Kings; Call of Duty: Mobile; Pokémon UNITE; Arena of Valor,unknown,office,Tencent,Honor of Kings / COD Mobile scale inside Tencent.
XD Inc. / TapTap,China,Shanghai (China),2011,~1000+,TapTap store + game,https://www.xd.com,unknown,mobile store / development,TapTap platform; XD publishing; TapTap; Ulala,unknown,office,public (HK),Exploration-focused mobile store.
Yoozoo Games,China,Shanghai (China),2009,~1000+,unknown,https://www.yoozoo.com,unknown,mobile / publishing,Guns of Glory; The Grand Mafia; The Settlers (licensing periods) etc.,unknown,office,private,China publishing/development.
Agate,Rest of Asia,Bandung (Indonesia),2009,~300+,unknown,https://agate.id,hello@agate.id (general),mobile / console; local IP,Locomoto; Indonesian publishing; education games; Indonesian games; Coffee Talk (publishing/joint ecosystem),unknown,office,independent,One of the most well-known studios in Indonesia.
Big Ant Studios,Oceania,Melbourne (Australia),2001,~100–150,sports sim,https://www.bigant.com,press@bigant.com (press),sport,AO Tennis; Cricket 24; Rugby 22; Rugby,unknown,office,independent,Australian sports sim niche.
Blue Tongue Entertainment,Oceania,Melbourne (Australia),1995,closed (2011),de Blob,,unknown,action,de Blob; Jurassic Park: The Game; Star Wars: The Clone Wars; THQ Melbourne era; Jurassic Park: Operation Genesis,-,-,closed (THQ),Historical Melbourne studio.
Boomzap Entertainment,Rest of Asia,Singapore / Manila,2006,~100-200,HOPA / casual,https://www.boomzap.com,press@boomzap.com (press),casual; HOPA,hidden-object Magenta; Escape Games; premium casual; hidden-object / escape puzzles; multiple HOPA titles,unknown,multi-office,independent,SEA casual.
Dhruva Interactive,Rest of Asia,Bangalore (India),1997,~600+,art / co-dev / port,https://www.dhruva.com,unknown,service; art; co-dev,Uncharted 4 art support; AAA outsourcing India; Dhruva Starbreeze era; Bengaluru co-dev; India art/co-dev services; very AAA art/co-dev (post-Starbreeze acquisition),unknown,office,Starbreeze (acquisition) / periodic,India game service pioneer.
Digital Happiness,Rest of Asia,Bandung (Indonesia),2013,~30–60,DreadOut,https://www.digitalhappiness.net,contact@digitalhappiness.net (general); press@digitalhappiness.net (press),horror,DreadOut; DreadOut 2; Pamali; Indonesian horror,unknown,office,independent,Indonesian horror indie.
EA Hyderabad,Rest of Asia,Hyderabad (India),—,in EA,technology / support,https://www.ea.com,press@ea.com (press),technology; support,EA India services; EA FC / sports technology; EA FC / spor teknolojisi,unknown,office,EA,EA India technology campus.
Falafel Games,Middle East,Dubai / Beirut roots,2010,~50–100,strategy / MENA history,https://www.falafelgames.com,press@falafel-games.com (press),strategy / history,Dead in Vinland partners; MENA strategy; MENA strategy / publishing partners; Age of Sails periods; Arabian Wars type; Arabian Wars tipi,unknown,hybrid,independent,MENA historical strategy.
Firemonkeys Studios,Oceania,Melbourne (Australia),1999,~150-200,Real Racing; Sims Mobile,https://www.firemonkeys.com.au,press@ea.com (press),mobile / racing,The Sims FreePlay; Real Racing 3; NFS No Limits; The Sims Mobile,unknown,office,EA,EA Australia mobile.
Games24x7,Rest of Asia,Mumbai / Bangalore (India),2006,~2000+,fantasy sports / skill,https://www.games24x7.com,press@games24x7.com (press),fantasy sports / rummy,RummyCircle; My11Circle; Games24x7 real-money; India gaming; fantasy sports,unknown,office,private (Tiger Global etc.),India real-money/skill games.
Garena / Sea Limited,Rest of Asia,Singapore,2009,thousands (Sea Games),Free Fire revenue,https://www.garena.com,press@garena.com (press),mobile / publishing,Free Fire publishing; Garena shell; Sea Limited ecosystem; SEA live ops; Free Fire; Free Fire MAX; Garena Shells,unknown,mixed,Sea Limited (publicly traded),Free Fire battle-royale giant in SEA and LATAM.
General Arcade,Oceania,Melbourne (Australia),2010,~50-100,port / co-dev,https://www.generalarcade.com,press@generalarcade.com (press),port; co-dev,Capcom Arcade ports; Pac-Man Museum support; arcade conversions; very indie/AA port,unknown,office,independent,Australian port specialist.
Halfbrick Studios,Oceania,Brisbane (Australia),2001,~100–200,Fruit Ninja IP,https://halfbrick.com,press@halfbrick.com (press),mobile casual,Fruit Ninja; Jetpack Joyride; Dan the Man,unknown,hybrid,independent,Australian casual icon.
Happylatte,Rest of Asia,Singapore,2015,~50-100,mobile,https://www.happylatte.com,unknown,mobile casual,Dragon Nest Mobile eras; Happylatte midcore; Singapore mobile; Perfect World ties; Singapore mobile midcore,unknown,office,private,Singapore mobile.
House House,Oceania,Melbourne (Australia),2016,~4–8,Untitled Goose Game,https://www.househou.se,press@househou.se (press),indie stealth / puzzle,Untitled Goose Game; House House comedy sandbox; Australian indie; Panic publishing; weekly update culture,unknown,small,independent,Kaz badge global indie hit.
JetSynthesys,Rest of Asia,Pune (India),2012,~100-200,sports / esports / game,https://jetsynthesys.com,press@jetsynthesys.com (press),sports game; esports,Baahubali games; sports/IP India; Baahubali / sports IP India; various sports IP,unknown,office,private,India sports/games.
Krome Studios,Oceania,Brisbane (Australia),1999,~50-100,Ty the Tasmanian Tiger,https://www.kromestudios.com,press@kromestudios.com (press),platform,Ty the Tasmanian Tiger; Blade Kitten; The Legend of Spyro; Ty series; Ty serisi,unknown,office,independent,Australian platform.
Lakshya Digital,Rest of Asia,Gurgaon / Pune (India),2004,~500+,art / animation,https://www.lakshyadigital.com,info@lakshyadigital.com (general); careers@lakshyadigital.com (HR); press@keywordsstudios.com (press),service; art,Horizon art support; AAA character art; Lakshya Keywords; India outsourcing; AAA art outsourcing; many AAA art/outsourcing,unknown,multi-office,Keywords Studios (acquisition),India art service; Keywords.
League of Geeks,Oceania,Melbourne (Australia),2011,small/medium,Armello,https://leagueofgeeks.com,press@leagueofgeeks.com (press),digital board / strategy,Armello; Armello seasons; League of Geeks digital board; Melbourne studio; Armello Unlimited,unknown,hybrid,independent,Melbourne strategy/board.
Lemon Sky Studios,Rest of Asia,Kuala Lumpur / Cyberjaya (Malaysia),2006,~500+,art / cinematic / Unreal,https://www.lemonsky.com,info@lemonsky.com (general),service; art; cinematic,Final Fantasy XVI cinematics support; AAA art; Lemon Sky Malaysia; cinematic co-dev; AAA art outsourcing; very AAA art/cinematic,unknown,office,public (Malaysia),Malaysia large art service.
Mail.ru / MY.GAMES,Europe,Limassol / Amsterdam (international),—,~1000+,War Robots; Hustle Castle,https://my.games,press@my.games (press),mobile / PC publishing,Warface; Hustle Castle; Lost Light; Warface (historical); Left to Survive; Warface (tarihsel),unknown,mixed,private / restructured,International brand from Russian roots.
Mekan Games,Middle East,Amman (Jordan),2012,~50+,mobile,https://mekangames.com,unknown,mobile casual / midcore,MENA casual/midcore; Arabic-localized mobile; Mekan catalog; Middle East live-ops; MENA mobile; various mobile titles,unknown,office,independent,Jordan mobile studio.
Moonfrog Labs,Rest of Asia,Bangalore (India),2013,~200+,board casual,https://moonfrog.com,press@moonfroglabs.com (press),mobile board / casual,Ludo King; Carrom Pool; Teen Patti; Ludo,unknown,office,private,India social casual.
Moonton,China,Shanghai / Singapore,2014,~500+,Mobile Legends,https://www.moonton.com,press@moonton.com (press),mobile MOBA,Mobile Legends: Bang Bang; Magic Chess; Moonton MOBA; ByteDance era; Project NEXT,unknown,office,ByteDance,Mobile Legends: Bang Bang MOBA global scale (ByteDance).
Nazara Technologies,Rest of Asia,Mumbai (India),2000,~1000+ (group),India gaming holding,https://www.nazara.com,press@nazara.com (press),publishing; esports; IP,World Cricket Championship; Nodwin; India conglomerate; India gaming conglomerate,unknown,mixed,public (India),India game holding.
Nodwin Gaming,Rest of Asia,Gurugram (India),2018,~200+,esports / media,https://nodwingaming.com,unknown,esports; media,BGMI esports India; Nodwin events; Nazara esports; tournament production; esports India / events; tournament and content,unknown,office,Nazara,India esports.
PlaySide Studios,Oceania,Melbourne (Australia),2011,~200+,service + IP,https://www.playside.com.au,press@playside.com (press),service / license,Moving Out; Scrabble; Ghost Giant; multi-licensed mobile/console,unknown,office,public (ASX),Australian service studio.
Rockstar India,Rest of Asia,Bangalore (India),2016,~500+,Rockstar support,https://www.rockstargames.com,press@rockstargames.com (press),AAA support,GTA Online / RDR2 support; GTA/RDR support; GTA/RDR destek,unknown,office,Take-Two / Rockstar,Rockstar India.
Savvy Games Group,Middle East,Riyadh (Saudi Arabia),2022,investment holding,Scopely ~$4.9B; ESL/FACEIT,https://savvygames.com,press@savvygames.com (press),investment / holding,PIF gaming investments; Savvy Holding; esports/venues; PIF gaming investments / Savvy Holding; Scopely; VSPO etc. investments,—,—,PIF (Saudi public fund),MENA's largest game investment vehicle.
Streamline Studios,Rest of Asia,Kuala Lumpur (Malaysia),2001,~100-200,co-dev / art / AVN,https://www.streamline-studios.com,info@streamline-studios.com (general),service; co-dev,Street Fighter V art support; AAA outsourcing; Streamline Malaysia; co-dev art; art/co-dev; multiple AAA co-dev/art,unknown,office,independent,Malaysia co-dev.
Synergy88 Studios,Rest of Asia,Manila (Philippines),2009,~200+,service / art,https://synergy88studios.com,unknown,service / co-dev,AAA art Philippines; Synergy88 co-dev; Manila outsourcing; client projects; Philippines co-dev/art; various client projects,unknown,office,private,Philippines game service studio.
Toge Productions,Rest of Asia,Jakarta (Indonesia),2009,~30–60,Coffee Talk,https://togeproductions.com,hello@togeproductions.com (general),visual novel / cozy,Coffee Talk; A Space for the Unbound; Banyu Hubadak; Indonesian narrative indie; Coffee Talk Episode 2,unknown,office,independent,Southeast Asia cozy/narrative.
Torus Games,Oceania,Melbourne (Australia),1994,~50-100,license / children / co-dev,https://www.torusgames.com,press@torusgames.com (press),license; co-dev,Barbie; Transformers; Scooby-Doo licensed titles; licensed kids titles; multi-licensed console/mobile,unknown,office,independent,Australia long-term licensed studio.
Touchten Games,Rest of Asia,Jakarta (Indonesia),2012,~100+,unknown,https://touchten.com,unknown,mobile casual,Coffee Talk publishing partnerships; Touchten casual; Indonesia mobile; Jakarta indie; Indonesia casual; various casual titles,unknown,office,independent,Indonesia mobile.
Ubisoft Abu Dhabi,Middle East,Abu Dhabi (UAE),2011,~50-100,support / innovation,https://www.ubisoft.com,press@ubisoft.com (press),support; AR/experimental,Assassin's Creed support; Ubisoft MENA; Abu Dhabi campus; localization/live-ops; Ubisoft MENA support; various Ubisoft support,unknown,office,Ubisoft,Ubisoft MENA campus for support and regional programs.
Ubisoft Philippines,Rest of Asia,Santa Rosa (Philippines),2016,~200-300,AAA support,https://www.ubisoft.com,press@ubisoft.com (press),AAA support,AC / R6 support; Assassin's Creed / Rainbow Six support; Assassin's Creed / Rainbow Six destek,unknown,office,Ubisoft,Philippines Ubisoft.
Ubisoft Pune,Rest of Asia,Pune (India),2008,~500+,mobile + support,https://www.ubisoft.com,press@ubisoft.com (press),mobile / support,Just Dance support; mobile/live-ops; Ubisoft India; Pune campus; Ubisoft mobile and support; various Ubisoft mobile and support,unknown,office,Ubisoft,"Ubisoft India studio for mobile, QA, and live support."
Ubisoft Singapore,Rest of Asia,Singapore,2008,~300-400,Skull & Bones; AC support,https://www.ubisoft.com,press@ubisoft.com (press),AAA / naval warfare,Skull and Bones; Assassin's Creed support; Skull & Bones; Assassin's Creed destek,unknown,office,Ubisoft,Southeast Asia Ubisoft.
Virtuos,Rest of Asia,Singapore (+ global),2004,~2000+,co-dev / port,https://www.virtuosgames.com,press@virtuosgames.com (press),service; port; remaster,AAA porting; Final Fantasy ports; Sonic remaster collab; AAA porting / co-dev; many AAA co-dev/remaster,unknown,multi-office,private,large service studio in Asia.
Wargaming,Europe,Nicosia (Cyprus) / global,1998,~2000+,World of Tanks ecosystem,https://wargaming.com,press@wargaming.net (press),MMO action,World of Tanks; World of Warships; World of Tanks Blitz; WoT Blitz,unknown,"distributed (Vilnius, Prague…)",private,World of Tanks franchise family; free-to-play vehicle combat.
Witch Beam,Oceania,Brisbane (Australia),2013,small,Unpacking hit,https://witchbeam.com.au,hello@witchbeam.com (general),indie puzzle / zen,Unpacking; Assault Android Cactus; Unlimited Golf; Assembled With Colour,unknown,remote / small office,independent,Global visibility with Unpacking.
Reliance Games,Rest of Asia,Mumbai (India),2009-2018+,unknown,licensed mobile,https://www.reliancegames.com,jobs@reliancegames.com (HR); media@reliancegames.com (press); support@reliancegames.com (support),mobile,Real Cricket; WWE Mayhem; Real Steel; Pacific Rim: The Mobile Game,-,-,Reliance,Reliance Entertainment's mobile games arm; still active. The previous record conflated it with Zynga India.
ACE Team,Latin America,Santiago (Chile),2007,~20–40,unknown,https://www.aceteam.cl,press@aceteam.cl (press),indie action,Rock of Ages; Rock of Ages 2; Abyss Odyssey; Zeno Clash; The Eternal Cylinder,unknown,small office,independent,Chilean indie; unique art direction.
Afterverse,Latin America,São Paulo (Brazil),2020,~100–200,mobile / UGC,https://afterverse.com,press@afterverse.com (press),mobile / metaverse-lite,Bombergrounds; Hyper Scape alumni DNA; Battlelands Royale; Hot Potato!,unknown,hybrid,private,Brazil mobile/UGC.
Aoca Game Lab,Latin America,Salvador / Brazil,2016,small,indie / education,https://aoca.com.br,unknown,indie; education,Horizon Chase support eras; Brazilian racing indie; Aoca catalog; Latin indie,unknown,small,independent,Brazil game lab/studio.
Aquiris Game Studio,Latin America,Porto Alegre (Brazil),2007,~100–200,Horizon Chase,https://www.aquiris.com.br,press@aquiris.com.br (press),racing / console,Horizon Chase; Horizon Chase Turbo; Horizon Chase 2; (historical) Crackdown 3 support,unknown,office,independent,Brazil console visibility.
Behold Studios,Latin America,Brasília (Brazil),2009,~10-30,Knights of Pen & Paper; Dungeon of Zolthan,https://beholdstudios.com.br,contact@beholdstudios.com.br (general),indie RPG / pixel,Knights of Pen and Paper; Moonlighter; Knights of Pen and Paper 2; Knights of Pen & Paper; Starlit Adventures,unknown,small,independent,Brazil pixel RPG.
Black River Studios,Latin America,Manaus (Brazil),2014,~50–100,in Amazon,https://www.blackriverstudios.com,press@amazon.com (press),mobile / Amazon,Dandara; Aeterna Noctis publishing partnerships; Black River Amazon; Brazil studio; various Amazon Appstore titles,unknown,office,Amazon,Amazon's Brazil studio.
Cleverlik / Mexico — Kaxan Games,Latin America,Guadalajara (Mexico),2012,~20-40,indie / VR,https://www.kaxangames.com,unknown,indie; VR,Mexican indie catalog; Kaxan partnership; LATAM co-dev; Cleverlik slate,unknown,office,independent,Mexico indie/VR.
Duaik Entretenimento,Latin America,Belo Horizonte (Brazil),2012,~10-30,Fobia; indie horror,https://duaik.com.br,contact@aquiris.com.br (general),horror / indie,Horizon Chase Turbo; Horizon Chase 2; Brazilian arcade racing; Aquiris sister era; Fobia: St. Dinfna Hotel,unknown,small,independent,Brazilian horror indie.
Dumativa,Latin America,Belo Horizonte (Brazil),2012,~30-60,indie / service,https://dumativa.com.br,unknown,indie; service,Horizon Chase audio/co-dev; Dumativa services; Brazil co-dev; music/tech,unknown,office,independent,Brazil indie/service.
Etermax,Latin America,Buenos Aires (Argentina),2009,~300-500,Trivia Crack,https://www.etermax.com,press@etermax.com (press),mobile trivia,Trivia Crack; Trivia Crack 2; Etermax trivia; Argentina mobile; Word Crack,unknown,office,private,LatAm casual hit.
Hoplon Infotainment,Latin America,Florianópolis (Brazil),2004,~50-100,MMO / F2P,https://www.hoplon.com,unknown,MMO / F2P,Heavy Metal Machines; Hoplon MOBA/racing; Brazilian multiplayer; Hoplon catalog; Taikodom; Combat Arms BR,unknown,office,independent,Brazil F2P/MMO.
IguanaBee,Latin America,Santiago (Chile),2010,~30-60,co-dev / art,https://www.iguanabee.com,unknown,service; co-dev,IguanaBee co-dev; Chile/ LatAm services; ports and support; IguanaBee slate,unknown,office,independent,Chile co-dev.
Jandusoft,Latin America,Mendoza (Argentina),2012,~50–100,unknown,https://jandusoft.com,unknown,mobile / console,Jandusoft VR/co-dev; Argentine studio services; LatAm outsourcing; Jandusoft catalog; various midcore / port,unknown,office,independent,Argentinian studio.
JoyMasher,Latin America,Brazil,2013,small,pixel action,https://joymasher.com,hello@joymasher.com (general),indie action,Odallus; The Last Door contributions; JoyMasher pixel action; Brazilian retro; Die By The Blade,unknown,small,independent,Brazilian pixel action.
Kaxan Games,Latin America,Guadalajara (Mexico),2012,~20-40,indie / VR,https://www.kaxangames.com,unknown,indie; VR,Mexican indie development; Kaxan catalog; LATAM narrative/action; Kaxan games,unknown,office,independent,Mexican indie.
Kokku,Latin America,Recife (Brazil),2009,~100–200,service + IP,https://kokku.com.br,hello@kokku.com.br (general),service / Unreal,Brazil AAA art/co-dev; character/environment art; various co-dev; Fortnite creative; Fortnite kreatif,unknown,office,independent,Recife technical studio.
Nimble Giant Entertainment,Latin America,Buenos Aires (Argentina),2002,~100-200,co-dev / MMO,https://www.nimblegiant.com,press@nimblegiant.com (press),co-dev,Hellpoint; Remnant co-dev; LatAm AAA services; various co-dev,unknown,office,Embracer,Argentina co-dev.
Squad,Latin America,Mexico City (Mexico),2010,~30-60,Kerbal Space Program,https://squad.com,contact@joinsquad.com (general); press@squad.com.mx (press),space sim,Kerbal Space Program; Kerbal Space Program 2 (period); Squad Mexican studio; Take-Two era; Kerbal Space Program 2 (handoff),unknown,office,Take-Two (IP),KSP original; Mexico.
Swordtales,Latin America,Porto Alegre (Brazil),2014,~10-30,unknown,https://swordtales.com,unknown,indie action,Ghost of a Tale publishing/dev ties; Swordtales narrative; Brazilian indie; Swordtales catalog; Toren,unknown,small,independent,Brazilian indie action.
Ubisoft São Paulo,Latin America,São Paulo (Brazil),2008,closed (2015),support,,press@ubisoft.com (press),AAA support,historical LatAm Ubisoft; Ubisoft support; Ubisoft destek,-,-,closed (Ubisoft),Historical LatAm Ubisoft.
Wildlife Studios,Latin America,São Paulo / Rio (Brazil),2011,~1000+ (peak; simplification),mobile hypercasual/hybrid revenue,https://wildlife.io,press@wildlifestudios.com (press),mobile casual / sports,Zooba; Tennis Clash; War Alliance; Color Switch (historical); Sniper 3D; tennis/soccer titles; Color Switch (tarihsel),unknown,hybrid,private (investors),One of the largest mobile studios in LatAm.
505 Games,Publishers / platforms,Milan (Italy),2006,~300+ (group),publisher hits,https://505games.com,press@505games.com (press),publish,Control; Assetto Corsa; Death Stranding (west hist.); Death Stranding (PC),unknown,mixed,Digital Bros,AA publisher; Control and racing/sim partnerships.
Adult Swim Games,Publishers / platforms,"Atlanta, GA (USA)",2011,small unit,indie publishing,https://games.adultswim.com,unknown,indie publishing,Rick and Morty games; indie oddities; various alternative indie,unknown,hybrid,Warner Bros. Discovery,Alternative indie label.
Aeria Games (tarihsel),Publishers / platforms,Santa Clara / Berlin,2006,seasonal / merged,MMO publishing,https://www.aeriagames.com,unknown,MMO publishing,Grand Fantasia; SpongeBob games publishing; Aeria free-to-play; historical publisher; various free-to-play,-,-,gamigo / mergers,Historical F2P publishing.
Aksys Games,Publishers / platforms,"Torrance, CA (USA)",2006,~20-40,VN / fighting publishing,https://www.aksysgames.com,press@aksysgames.com (press),publish,VN / action west publishing; BlazBlue west; VN,unknown,office,independent,VN/fighting niche publishing.
Akupara Games,Publishers / platforms,"Los Angeles, CA (USA)",2016,small,indie publishing,https://akuparagames.com,unknown,indie publishing,narrative indie publishing; Darkwood; Unavowed,unknown,hybrid,independent,Curator indie publishing.
Annapurna Interactive,Publishers / platforms,"Los Angeles, CA (USA)",2016,small/medium,curated publishing,https://annapurnainteractive.com,press@annapurna.pictures (press),indie publishing,Stray; Outer Wilds; Edith Finch; Sayonara Wild Hearts; What Remains of Edith Finch,unknown,mixed,Annapurna Pictures,Prestige indie publisher; Stray and Outer Wilds highlight reel.
Apple Arcade,Publishers / platforms,"Cupertino, CA (USA)",2019,inside Apple,subscription game,https://www.apple.com/apple-arcade,press@apple.com (press),subscription platform,Sayonara Wild Hearts; Oceanhorn 2; Sneaky Sasquatch; Apple Arcade exclusives catalog; subscription catalog publishing; hundreds of subscription titles,—,—,Apple,Apple's subscription gaming service and curated catalog.
Application Systems Heidelberg,Publishers / platforms,Heidelberg (Germany),1985,small/medium,Mac/Linux / niche publishing,https://www.application-systems.de,unknown,publishing; Mac,The Settlers lineage publishing eras; German classic PC; Application Systems catalog; strategy classics; various Mac/indie,unknown,office,independent,Germany long-standing niche publisher.
Armor Games Studios,Publishers / platforms,"Irvine, CA (USA)",2018 (Armor Games core),~30-60,indie publishing,https://armorgamesstudios.com,press@armorgames.com (press); business@armorgames.com (biz),indie publishing,web-to-Steam indie publishing; Typoman; First Dwarf,unknown,hybrid,independent,Flash root publisher.
